NAZWA;WK;PK;GK;GT;PT;Typ jednostki;Podtyp jednostki;Kod GUS;Kod MSWiA;Data od;Data do;Miejscowosc;Kod pocztowy;Adres
PU£AWY;06;14;01;1;0;Gmina;Gmina miejska;0614011;;1994-01-01;;PU£AWY;24-100;ul.Lubelska 5
BARAN”W;06;14;02;2;0;Gmina;Gmina wiejska;0614022;;1994-01-01;;BARAN”W;24-105;ul.Rynek 14
JANOWIEC;06;14;03;2;0;Gmina;Gmina wiejska;0614032;;1994-01-01;;JANOWIEC;24-123;ul.Radomska 2
KAZIMIERZ DOLNY;06;14;04;3;0;Gmina;Gmina miejsko-wiejska;0614043;;1994-01-01;;KAZIMIERZ DOLNY;24-120;ul.Senatorska 5
KO—SKOWOLA;06;14;05;2;0;Gmina;Gmina wiejska;0614052;;1994-01-01;;KO—SKOWOLA;24-130;ul.Poøowska 3a
KUR”W;06;14;06;2;0;Gmina;Gmina wiejska;0614062;;1994-01-01;;KUR”W;24-170;ul.Lubelska 35
MARKUSZ”W;06;14;07;2;0;Gmina;Gmina wiejska;0614072;;1994-01-01;;MARKUSZ”W;24-173;ul.Sobieskiego 1
NA£ CZ”W;06;14;08;3;0;Gmina;Gmina miejsko-wiejska;0614083;;1994-01-01;;NA£ CZ”W;24-140;Al.Lipowa 3
PU£AWY;06;14;09;2;0;Gmina;Gmina wiejska;0614092;;1994-01-01;;PU£AWY;24-111;ul.6 sierpnia 1
W•WOLNICA;06;14;10;2;0;Gmina;Gmina wiejska;0614102;;1994-01-01;;W•WOLNICA;24-160;ul.Lubelska 39
ØYRZYN;06;14;11;2;0;Gmina;Gmina wiejska;0614112;;1994-01-01;;ØYRZYN;24-103;ul.Powstania Styczniowego 10
radzyÒski;06;15;00;0;1;Powiat;;0615000;;1999-01-01;;RADZY— PODLASKI;21-300;pl.Potockiego 1
RADZY— PODLASKI;06;15;01;1;0;Gmina;Gmina miejska;0615011;;1994-01-01;;RADZY— PODLASKI;21-300;ul.Warszawska 32
BORKI;06;15;02;2;0;Gmina;Gmina wiejska;0615022;;1994-01-01;;BORKI;21-145;ul.II Armii WP 41
CZEMIERNIKI;06;15;03;2;0;Gmina;Gmina wiejska;0615032;;1994-01-01;;CZEMIERNIKI;21-306;ul.Zamkowa 9
K•KOLEWNICA;06;15;04;2;0;Gmina;Gmina wiejska;0615042;;2011-01-01;;K•KOLEWNICA WSCHODNIA;21-302;Kπkolewnica Wschodnia 1
KOMAR”WKA PODLASKA;06;15;05;2;0;Gmina;Gmina wiejska;0615052;;1994-01-01;;KOMAR”WKA PODLASKA;21-311;ul.KrÛtka 7
RADZY— PODLASKI;06;15;06;2;0;Gmina;Gmina wiejska;0615062;;1994-01-01;;RADZY— PODLASKI;21-300;ul.Warszawska 32
ULAN-MAJORAT;06;15;07;2;0;Gmina;Gmina wiejska;0615072;;1994-01-01;;ULAN-MAJORAT;21-307;Ulan-Majorat 57
WOHY—;06;15;08;2;0;Gmina;Gmina wiejska;0615082;;1994-01-01;;WOHY—;21-310;ul.RadzyÒska 4
rycki;06;16;00;0;1;Powiat;;0616000;;1999-01-01;;RYKI;08-500;ul.22-go Lipca 29
D BLIN;06;16;01;1;0;Gmina;Gmina miejska;0616011;;1994-01-01;;D BLIN;08-530;ul.Rynek 12
K£OCZEW;06;16;02;2;0;Gmina;Gmina wiejska;0616022;;1994-01-01;;K£OCZEW;08-550;ul.D≥uga 67
NOWODW”R;06;16;03;2;0;Gmina;Gmina wiejska;0616032;;1994-01-01;;NOWODW”R;08-503;
RYKI;06;16;04;3;0;Gmina;Gmina miejsko-wiejska;0616043;;1994-01-01;;RYKI;08-500;ul.22 Lipca 29
ST ØYCA;06;16;05;2;0;Gmina;Gmina wiejska;0616052;;1994-01-01;;ST ØYCA;08-540;Pl.Senatorski 1
U£ Ø;06;16;06;2;0;Gmina;Gmina wiejska;0616062;;1994-01-01;;U£ Ø;08-504;U≥Íø 168
úwidnicki;06;17;00;0;1;Powiat;;0617000;;1999-01-01;;åWIDNIK;21-047;ul.Niepodleg≥oúci 13
åWIDNIK;06;17;01;1;0;Gmina;Gmina miejska;0617011;;1994-01-01;;åWIDNIK;21-047;ul.Kard. St. WyszyÒskiego 15
ME£GIEW;06;17;02;2;0;Gmina;Gmina wiejska;0617022;;1994-01-01;;ME£GIEW;21-007;ul.Partyzancka 42
PIASKI;06;17;03;3;0;Gmina;Gmina miejsko-wiejska;0617033;;1994-01-01;;PIASKI;21-050;ul.Lubelska 77
RYBCZEWICE;06;17;04;2;0;Gmina;Gmina wiejska;0617042;;1994-01-01;;RYBCZEWICE;21-065;Rybczewice
TRAWNIKI;06;17;05;2;0;Gmina;Gmina wiejska;0617052;;1994-01-01;;TRAWNIKI;21-044;Al.Wyzwolenia
tomaszowski;06;18;00;0;1;Powiat;;0618000;;1999-01-01;;TOMASZ”W LUBELSKI;22-600;ul.Lwowska 68
TOMASZ”W LUBELSKI;06;18;01;1;0;Gmina;Gmina miejska;0618011;;1994-01-01;;TOMASZ”W LUBELSKI;22-600;ul.Lwowska 57
BE£ØEC;06;18;02;2;0;Gmina;Gmina wiejska;0618022;;1994-01-01;;BE£ØEC;22-670;ul.Lwowska 5
JARCZ”W;06;18;03;2;0;Gmina;Gmina wiejska;0618032;;1994-01-01;;JARCZ”W;22-664;ul.3 Maja 24
KRYNICE;06;18;04;2;0;Gmina;Gmina wiejska;0618042;;1994-01-01;;KRYNICE;22-610;Krynice 1
LUBYCZA KR”LEWSKA;06;18;05;2;0;Gmina;Gmina wiejska;0618052;;1994-01-01;;LUBYCZA KR”LEWSKA;22-680;ul.Kolejowa 1
£ASZCZ”W;06;18;06;3;0;Gmina;Gmina miejsko-wiejska;0618063;;2010-01-01;;£ASZCZ”W;22-650;ul.Chopina 14
RACHANIE;06;18;07;2;0;Gmina;Gmina wiejska;0618072;;1994-01-01;;RACHANIE;22-640;ul.Dolna 1
SUSIEC;06;18;08;2;0;Gmina;Gmina wiejska;0618082;;1994-01-01;;SUSIEC;22-672;ul.Tomaszowska 2
TARNAWATKA;06;18;09;2;0;Gmina;Gmina wiejska;0618092;;1994-01-01;;TARNAWATKA;22-604;Tarnawatka 53
TELATYN;06;18;10;2;0;Gmina;Gmina wiejska;0618102;;1994-01-01;;TELATYN;22-652;ul.Telatyn
TOMASZ”W LUBELSKI;06;18;11;2;0;Gmina;Gmina wiejska;0618112;;1994-01-01;;TOMASZ”W LUBELSKI;22-600;ul.29 Listopada 9
TYSZOWCE;06;18;12;3;0;Gmina;Gmina miejsko-wiejska;0618123;;1994-01-01;;TYSZOWCE;22-630;ul.3 Maja 8
ULH”WEK;06;18;13;2;0;Gmina;Gmina wiejska;0618132;;1994-01-01;;ULH”WEK;22-678;UlhÛwek 85/1
w≥odawski;06;19;00;0;1;Powiat;;0619000;;1999-01-01;;W£ODAWA;22-200;al.J.Pi≥sudskiego 24
W£ODAWA;06;19;01;1;0;Gmina;Gmina miejska;0619011;;1994-01-01;;W£ODAWA;22-200;Al.J.Pi≥sudskiego 24
HANNA;06;19;02;2;0;Gmina;Gmina wiejska;0619022;;1994-01-01;;HANNA;22-220;Hanna 43 b
HA—SK;06;19;03;2;0;Gmina;Gmina wiejska;0619032;;1994-01-01;;HA—SK;22-235;
STARY BRUS;06;19;04;2;0;Gmina;Gmina wiejska;0619042;;1994-01-01;;STARY BRUS;22-244;Stary Brus 47 A
URSZULIN;06;19;05;2;0;Gmina;Gmina wiejska;0619052;;1994-01-01;;URSZULIN;22-234;ul.Kwiatowa 35
W£ODAWA;06;19;06;2;0;Gmina;Gmina wiejska;0619062;;1994-01-01;;W£ODAWA;22-200;Al.Jana Paw≥a II 22
WOLA UHRUSKA;06;19;07;2;0;Gmina;Gmina wiejska;0619072;;1994-01-01;;WOLA UHRUSKA;22-230;ul.Parkowa 5
WYRYKI;06;19;08;2;0;Gmina;Gmina wiejska;0619082;;1994-01-01;;WYRYKI;22-205;
zamojski;06;20;00;0;1;Powiat;;0620000;;1999-01-01;;ZAMOå∆;22-400;ul.Przemys≥owa 4
ADAM”W;06;20;01;2;0;Gmina;Gmina wiejska;0620012;;1994-01-01;;ADAM”W;22-442;
GRABOWIEC;06;20;02;2;0;Gmina;Gmina wiejska;0620022;;1994-01-01;;GRABOWIEC;22-425;Rynek 3
KOMAR”W-OSADA;06;20;03;2;0;Gmina;Gmina wiejska;0620032;;1994-01-01;;KOMAR”W-OSADA;22-435;Rynek 15
KRASNOBR”D;06;20;04;3;0;Gmina;Gmina miejsko-wiejska;0620043;;1994-01-01;;KRASNOBR”D;22-440;ul.3 Maja 36
£ABUNIE;06;20;05;2;0;Gmina;Gmina wiejska;0620052;;1994-01-01;;£ABUNIE;22-437;ul.Zamojska 50
MI•CZYN;06;20;06;2;0;Gmina;Gmina wiejska;0620062;;1994-01-01;;MI•CZYN;22-455;
NIELISZ;06;20;07;2;0;Gmina;Gmina wiejska;0620072;;1994-01-01;;NIELISZ;22-413;
RADECZNICA;06;20;08;2;0;Gmina;Gmina wiejska;0620082;;1994-01-01;;RADECZNICA;22-463;ul.B. Prusa 65a
SITNO;06;20;09;2;0;Gmina;Gmina wiejska;0620092;;1994-01-01;;SITNO;22-424;
SKIERBIESZ”W;06;20;10;2;0;Gmina;Gmina wiejska;0620102;;1994-01-01;;SKIERBIESZ”W;22-420;Rynek 1
STARY ZAMOå∆;06;20;11;2;0;Gmina;Gmina wiejska;0620112;;1994-01-01;;STARY ZAMOå∆;22-417;Stary ZamoúÊ 6
SU£”W;06;20;12;2;0;Gmina;Gmina wiejska;0620122;;1994-01-01;;SU£”W;22-448;
SZCZEBRZESZYN;06;20;13;3;0;Gmina;Gmina miejsko-wiejska;0620133;;1994-01-01;;SZCZEBRZESZYN;22-460;Pl.Koúciuszki 1
ZAMOå∆;06;20;14;2;0;Gmina;Gmina wiejska;0620142;;1994-01-01;;ZAMOå∆;22-400;ul.PeowiakÛw 92
ZWIERZYNIEC;06;20;15;3;0;Gmina;Gmina miejsko-wiejska;0620153;;1994-01-01;;ZWIERZYNIEC;22-470;Rynek 1
Bia≥a Podlaska;06;61;00;0;2;Miasto na prawach powiatu;;0661000;;1999-01-01;;BIA£A PODLASKA;21-500;ul.Pi≥sudskiego 3
Che≥m;06;62;00;0;2;Miasto na prawach powiatu;;0662000;;1999-01-01;;CHE£M;22-100;ul.Lubelska 65
Lublin;06;63;00;0;2;Miasto na prawach powiatu;;0663000;;1999-01-01;;LUBLIN;20-950;ul.Wieniawska 14
ZamoúÊ;06;64;00;0;2;Miasto na prawach powiatu;;0664000;;1999-01-01;;ZAMOå∆;22-400;ul.Rynek Wielki 13
lubuskie;08;00;00;0;0;WojewÛdztwo;;0800000;;1999-01-01;;Zielona GÛra;65-057;ul.PodgÛrna 7
gorzowski;08;01;00;0;1;Powiat;;0801000;;1999-01-01;;GORZ”W WIELKOPOLSKI;66-400;ul.Walczaka 25
KOSTRZYN nad Odrπ;08;01;01;1;0;Gmina;Gmina miejska;0801011;;2004-01-01;;KOSTRZYN NAD ODR•;66-470;ul.Kopernika 1
BOGDANIEC;08;01;02;2;0;Gmina;Gmina wiejska;0801022;;1994-01-01;;BOGDANIEC;66-450;ul.Mickiewicza 45
DESZCZNO;08;01;03;2;0;Gmina;Gmina wiejska;0801032;;1994-01-01;;DESZCZNO;66-446;Deszczno 63
K£ODAWA;08;01;04;2;0;Gmina;Gmina wiejska;0801042;;1994-01-01;;K£ODAWA;66-415;ul.Gorzowska 40
LUBISZYN;08;01;05;2;0;Gmina;Gmina wiejska;0801052;;1994-01-01;;LUBISZYN;66-433;pl.Jednoúci Robotniczej 1
SANTOK;08;01;06;2;0;Gmina;Gmina wiejska;0801062;;1994-01-01;;SANTOK;66-431;ul.Gorzowska 59
WITNICA;08;01;07;3;0;Gmina;Gmina miejsko-wiejska;0801073;;1994-01-01;;WITNICA;66-460;ul.KRN 6
kroúnieÒski;08;02;00;0;1;Powiat;;0802000;;1999-01-01;;KROSNO ODRZA—SKIE;66-600;ul.17 PionierÛw 2
GUBIN;08;02;01;1;0;Gmina;Gmina miejska;0802011;;1994-01-01;;GUBIN;66-620;ul.Piastowska 24
BOBROWICE;08;02;02;2;0;Gmina;Gmina wiejska;0802022;;1994-01-01;;BOBROWICE;66-627;Bobrowice 131
BYTNICA;08;02;03;2;0;Gmina;Gmina wiejska;0802032;;1994-01-01;;BYTNICA;66-630;Bytnica 52
D•BIE;08;02;04;2;0;Gmina;Gmina wiejska;0802042;;1994-01-01;;D•BIE;66-615;ul.Szeroka 4
GUBIN;08;02;05;2;0;Gmina;Gmina wiejska;0802052;;1994-01-01;;GUBIN;66-620;ul.Piastowska 24a
KROSNO ODRZA—SKIE;08;02;06;3;0;Gmina;Gmina miejsko-wiejska;0802063;;1994-01-01;;KROSNO ODRZA—SKIE;66-600;ul.Parkowa 1
MASZEWO;08;02;07;2;0;Gmina;Gmina wiejska;0802072;;1994-01-01;;MASZEWO;66-614;Maszewo 77
miÍdzyrzecki;08;03;00;0;1;Powiat;;0803000;;1999-01-01;;MI DZYRZECZ;66-300;ul.Przemys≥owa 2
BLEDZEW;08;03;01;2;0;Gmina;Gmina wiejska;0803012;;1994-01-01;;BLEDZEW;66-350;ul.Koúciuszki 16
MI DZYRZECZ;08;03;02;3;0;Gmina;Gmina miejsko-wiejska;0803023;;1994-01-01;;MI DZYRZECZ;66-300;ul.Rynek 1
PRZYTOCZNA;08;03;03;2;0;Gmina;Gmina wiejska;0803032;;1994-01-01;;PRZYTOCZNA;66-340;ul.RokitniaÒska 4
PSZCZEW;08;03;04;2;0;Gmina;Gmina wiejska;0803042;;1994-01-01;;PSZCZEW;66-330;ul.Rynek 13
SKWIERZYNA;08;03;05;3;0;Gmina;Gmina miejsko-wiejska;0803053;;1994-01-01;;SKWIERZYNA;66-440;ul.Rynek 1
TRZCIEL;08;03;06;3;0;Gmina;Gmina miejsko-wiejska;0803063;;1994-01-01;;TRZCIEL;66-320;ul.PoznaÒska 22
nowosolski;08;04;00;0;1;Powiat;;0804000;;1999-01-01;;NOWA S”L;67-100;ul.Moniuszki 3B
NOWA S”L;08;04;01;1;0;Gmina;Gmina miejska;0804011;;1994-01-01;;NOWA S”L;67-100;ul.Pi≥sudkiego 12
BYTOM ODRZA—SKI;08;04;02;3;0;Gmina;Gmina miejsko-wiejska;0804023;;1994-01-01;;BYTOM ODRZA—SKI;67-115;ul.Rynek 1
KOLSKO;08;04;03;2;0;Gmina;Gmina wiejska;0804032;;1994-01-01;;KOLSKO;67-415;ul.Piastowska 12
KOØUCH”W;08;04;04;3;0;Gmina;Gmina miejsko-wiejska;0804043;;1994-01-01;;KOØUCH”W;67-120;Rynek 1A
NOWA S”L;08;04;05;2;0;Gmina;Gmina wiejska;0804052;;1994-01-01;;NOWA S”L;67-100;ul.Moniuszki 3a
NOWE MIASTECZKO;08;04;06;3;0;Gmina;Gmina miejsko-wiejska;0804063;;1994-01-01;;NOWE MIASTECZKO;67-124;ul.Rynek 2
OTY—;08;04;07;2;0;Gmina;Gmina wiejska;0804072;;1994-01-01;;OTY—;67-106;ul.Rynek 1
SIEDLISKO;08;04;08;2;0;Gmina;Gmina wiejska;0804082;;1994-01-01;;SIEDLISKO;67-112;Pl.Zamkowy 6
s≥ubicki;08;05;00;0;1;Powiat;;0805000;;1999-01-01;;S£UBICE;69-100;ul.Pi≥sudskiego 20
CYBINKA;08;05;01;3;0;Gmina;Gmina miejsko-wiejska;0805013;;1994-01-01;;CYBINKA;69-108;ul.Szkolna 5
G”RZYCA;08;05;02;2;0;Gmina;Gmina wiejska;0805022;;1994-01-01;;G”RZYCA;69-113;ul.1 Maja 1
OåNO LUBUSKIE;08;05;03;3;0;Gmina;Gmina miejsko-wiejska;0805033;;1994-01-01;;OåNO LUBUSKIE;69-220;ul.Rynek 1
RZEPIN;08;05;04;3;0;Gmina;Gmina miejsko-wiejska;0805043;;1994-01-01;;RZEPIN;69-110;Pl.Ratuszowy 1
S£UBICE;08;05;05;3;0;Gmina;Gmina miejsko-wiejska;0805053;;1994-01-01;;S£UBICE;69-100;ul.Akademicka 1
strzelecko-drezdenecki;08;06;00;0;1;Powiat;;0806000;;1999-01-01;;STRZELCE KRAJE—SKIE;66-500;al.Wolnoúci 5
DOBIEGNIEW;08;06;01;3;0;Gmina;Gmina miejsko-wiejska;0806013;;1994-01-01;;DOBIEGNIEW;66-520;ul.Dembowskiego 2
DREZDENKO;08;06;02;3;0;Gmina;Gmina miejsko-wiejska;0806023;;1994-01-01;;DREZDENKO;66-530;ul.Warszawska 1
STARE KUROWO;08;06;03;2;0;Gmina;Gmina wiejska;0806032;;1994-01-01;;STARE KUROWO;66-540;ul.DaszyÒskiego 1
STRZELCE KRAJE—SKIE;08;06;04;3;0;Gmina;Gmina miejsko-wiejska;0806043;;1994-01-01;;STRZELCE KRAJE—SKIE;66-500;Al.Wolnoúci 48
ZWIERZYN;08;06;05;2;0;Gmina;Gmina wiejska;0806052;;1994-01-01;;ZWIERZYN;66-542;ul.Wojska Polskiego 8
sulÍciÒski;08;07;00;0;1;Powiat;;0807000;;1999-01-01;;SUL CIN;69-200;ul.Lipowa 18
KRZESZYCE;08;07;01;2;0;Gmina;Gmina wiejska;0807012;;1994-01-01;;KRZESZYCE;66-435;ul.SkwierzyÒska 16
LUBNIEWICE;08;07;02;3;0;Gmina;Gmina miejsko-wiejska;0807023;;1994-01-01;;LUBNIEWICE;69-210;ul.BohaterÛw Stalingradu 16
S£O—SK;08;07;03;2;0;Gmina;Gmina wiejska;0807032;;1994-01-01;;S£O—SK;66-436;ul.Sikorskiego 15
SUL CIN;08;07;04;3;0;Gmina;Gmina miejsko-wiejska;0807043;;1994-01-01;;SUL CIN;69-200;ul.Lipowa 18
TORZYM;08;07;05;3;0;Gmina;Gmina miejsko-wiejska;0807053;;1994-01-01;;TORZYM;66-235;ul.Woj. Polskiego 32
úwiebodziÒski;08;08;00;0;1;Powiat;;0808000;;1999-01-01;;åWIEBODZIN;66-200;ul.Kolejowa 2
LUBRZA;08;08;01;2;0;Gmina;Gmina wiejska;0808012;;1994-01-01;;LUBRZA;66-218;ul.åwiebodziÒska 68
£AG”W;08;08;02;2;0;Gmina;Gmina wiejska;0808022;;1994-01-01;;£AG”W;66-220;ul.1 Lutego 7
SK•PE;08;08;03;2;0;Gmina;Gmina wiejska;0808032;;1994-01-01;;SK•PE;66-213;Skπpe 65
SZCZANIEC;08;08;04;2;0;Gmina;Gmina wiejska;0808042;;1994-01-01;;SZCZANIEC;66-225;Szczaniec 73
åWIEBODZIN;08;08;05;3;0;Gmina;Gmina miejsko-wiejska;0808053;;1994-01-01;;åWIEBODZIN;66-200;ul.Rynkowa 2
ZB•SZYNEK;08;08;06;3;0;Gmina;Gmina miejsko-wiejska;0808063;;1994-01-01;;ZB•SZYNEK;66-210;ul.Rynek 1
zielonogÛrski;08;09;00;0;1;Powiat;;0809000;;1999-01-01;;ZIELONA G”RA;65-057;ul.PodgÛrna 5
BABIMOST;08;09;01;3;0;Gmina;Gmina miejsko-wiejska;0809013;;1994-01-01;;BABIMOST;66-110;ul.Rynek 3
BOJAD£A;08;09;02;2;0;Gmina;Gmina wiejska;0809022;;1994-01-01;;BOJAD£A;66-130;ul.Sulechowska 35
CZERWIE—SK;08;09;03;3;0;Gmina;Gmina miejsko-wiejska;0809033;;1994-01-01;;CZERWIE—SK;66-016;ul.Rynek 25
KARGOWA;08;09;04;3;0;Gmina;Gmina miejsko-wiejska;0809043;;1994-01-01;;KARGOWA;66-120;ul.Rynek 33
NOWOGR”D BOBRZA—SKI;08;09;05;3;0;Gmina;Gmina miejsko-wiejska;0809053;;1994-01-01;;NOWOGR”D BOBRZA—SKI;66-010;ul.S≥owackiego 11
SULECH”W;08;09;06;3;0;Gmina;Gmina miejsko-wiejska;0809063;;1994-01-01;;SULECH”W;66-100;Pl.Ratuszowy 6
åWIDNICA;08;09;07;2;0;Gmina;Gmina wiejska;0809072;;1994-01-01;;åWIDNICA;66-008;ul.D≥uga 38
TRZEBIECH”W;08;09;08;2;0;Gmina;Gmina wiejska;0809082;;1994-01-01;;TRZEBIECH”W;66-132;ul.Sulechowska 2
ZAB”R;08;09;09;2;0;Gmina;Gmina wiejska;0809092;;1994-01-01;;ZAB”R;66-003;ul.Lipowa 15
ZIELONA G”RA;08;09;10;2;0;Gmina;Gmina wiejska;0809102;;1994-01-01;;ZIELONA G”RA;65-443;ul.Sienkiewicza 9
øagaÒski;08;10;00;0;1;Powiat;;0810000;;1999-01-01;;ØAGA—;68-100;ul.Dworcowa 39
GOZDNICA;08;10;01;1;0;Gmina;Gmina miejska;0810011;;1994-01-01;;GOZDNICA;68-130;ul.åwierczewskiego 2
ØAGA—;08;10;02;1;0;Gmina;Gmina miejska;0810021;;1994-01-01;;ØAGA—;68-100;Pl.S≥owiaÒski 17
BRZEèNICA;08;10;03;2;0;Gmina;Gmina wiejska;0810032;;1994-01-01;;BRZEèNICA;68-113;ul.ZielonogÛrska 30
I£OWA;08;10;04;3;0;Gmina;Gmina miejsko-wiejska;0810043;;1994-01-01;;I£OWA;68-120;ul.Øeromskiego 27
MA£OMICE;08;10;05;3;0;Gmina;Gmina miejsko-wiejska;0810053;;1994-01-01;;MA£OMICE;67-320;pl. Konstytucji 3 Maja 1
NIEGOS£AWICE;08;10;06;2;0;Gmina;Gmina wiejska;0810062;;1994-01-01;;NIEGOS£AWICE;67-312;Niegos≥awice 55
SZPROTAWA;08;10;07;3;0;Gmina;Gmina miejsko-wiejska;0810073;;1994-01-01;;SZPROTAWA;67-300;ul.Rynek 45
WYMIARKI;08;10;08;2;0;Gmina;Gmina wiejska;0810082;;1994-01-01;;WYMIARKI;68-131;ul.KsiÍcia Witolda 5
ØAGA—;08;10;09;2;0;Gmina;Gmina wiejska;0810092;;1994-01-01;;ØAGA—;68-100;ul.Armii Krajowej 9
øarski;08;11;00;0;1;Powiat;;0811000;;1999-01-01;;ØARY;68-200;al.Warszawska 5
£ KNICA;08;11;01;1;0;Gmina;Gmina miejska;0811011;;1994-01-01;;£ KNICA;68-208;ul.Øurawska 1
ØARY;08;11;02;1;0;Gmina;Gmina miejska;0811021;;1994-01-01;;ØARY;68-200;ul.Rynek 1-5
BRODY;08;11;03;2;0;Gmina;Gmina wiejska;0811032;;1994-01-01;;BRODY;68-343;ul.Rynek 2
JASIE—;08;11;04;3;0;Gmina;Gmina miejsko-wiejska;0811043;;1994-01-01;;JASIE—;68-320;Pl.Wolnoúci 2
LIPINKI £UØYCKIE;08;11;05;2;0;Gmina;Gmina wiejska;0811052;;1994-01-01;;LIPINKI £UØYCKIE;68-213;ul.G≥Ûwna 9
LUBSKO;08;11;06;3;0;Gmina;Gmina miejsko-wiejska;0811063;;1994-01-01;;LUBSKO;68-300;ul.PowstaÒcÛw Wielkopolsk. 3
PRZEW”Z;08;11;07;2;0;Gmina;Gmina wiejska;0811072;;1994-01-01;;PRZEW”Z;68-132;Pl.PartyzantÛw 1
TRZEBIEL;08;11;08;2;0;Gmina;Gmina wiejska;0811082;;1994-01-01;;TRZEBIEL;68-212;ul.Øarska 41
TUPLICE;08;11;09;2;0;Gmina;Gmina wiejska;0811092;;1994-01-01;;TUPLICE;68-219;ul.Mickiewicza 27
ØARY;08;11;10;2;0;Gmina;Gmina wiejska;0811102;;1994-01-01;;ØARY;68-200;Aleja Warszawska 6
wschowski;08;12;00;0;1;Powiat;;0812000;;2002-01-01;;WSCHOWA;67-400;Pl. KosynierÛw 1c
S£AWA;08;12;01;3;0;Gmina;Gmina miejsko-wiejska;0812013;;2002-01-01;;S£AWA;67-410;ul.H. Poboønego 10
SZLICHTYNGOWA;08;12;02;3;0;Gmina;Gmina miejsko-wiejska;0812023;;2002-01-01;;SZLICHTYNGOWA;67-407;ul.Rynek 1
WSCHOWA;08;12;03;3;0;Gmina;Gmina miejsko-wiejska;0812033;;2002-01-01;;WSCHOWA;67-400;ul.Rynek 1
GorzÛw Wielkopolski;08;61;00;0;2;Miasto na prawach powiatu;;0861000;;1999-01-01;;GORZ”W WIELKOPOLSKI;66-400;ul.Sikorskiego 3/4
Zielona GÛra;08;62;00;0;2;Miasto na prawach powiatu;;0862000;;1999-01-01;;ZIELONA G”RA;65-424;ul.PodgÛrna 22
≥Ûdzkie;10;00;00;0;0;WojewÛdztwo;;1000000;;1999-01-01;;£Ûdü;90-051;al.Pi≥sudskiego 8
be≥chatowski;10;01;00;0;1;Powiat;;1001000;;1999-01-01;;BE£CHAT”W;97-400;ul.Pabianicka 17/19
BE£CHAT”W;10;01;01;1;0;Gmina;Gmina miejska;1001011;;1994-01-01;;BE£CHAT”W;97-400;ul.Koúciuszki 1
BE£CHAT”W;10;01;02;2;0;Gmina;Gmina wiejska;1001022;;1994-01-01;;BE£CHAT”W;97-400;ul.Koúciuszki 13
DRUØBICE;10;01;03;2;0;Gmina;Gmina wiejska;1001032;;1994-01-01;;DRUØBICE;97-403;Druøbice 77a
KLESZCZ”W;10;01;04;2;0;Gmina;Gmina wiejska;1001042;;1994-01-01;;KLESZCZ”W;97-410;ul.G≥Ûwna 47
KLUKI;10;01;05;2;0;Gmina;Gmina wiejska;1001052;;1994-01-01;;KLUKI;97-415;Kluki 88
RUSIEC;10;01;06;2;0;Gmina;Gmina wiejska;1001062;;1994-01-01;;RUSIEC;97-438;ul.WieluÒska 35
SZCZERC”W;10;01;07;2;0;Gmina;Gmina wiejska;1001072;;1994-01-01;;SZCZERC”W;97-420;ul.Pu≥askiego 8
ZEL”W;10;01;08;3;0;Gmina;Gmina miejsko-wiejska;1001083;;1994-01-01;;ZEL”W;97-425;ul.Øeromskiego 28
kutnowski;10;02;00;0;1;Powiat;;1002000;;1999-01-01;;KUTNO;99-300;ul.Koúciuszki 16
KUTNO;10;02;01;1;0;Gmina;Gmina miejska;1002011;;1994-01-01;;KUTNO;99-300;Pl.Pi≥sudskiego 18
BEDLNO;10;02;02;2;0;Gmina;Gmina wiejska;1002022;;1994-01-01;;BEDLNO;99-311;
D•BROWICE;10;02;03;2;0;Gmina;Gmina wiejska;1002032;;1994-01-01;;D•BROWICE;99-352;ul.Nowy Rynek 17
KROåNIEWICE;10;02;04;3;0;Gmina;Gmina miejsko-wiejska;1002043;;1994-01-01;;KROåNIEWICE;99-340;ul.PoznaÒska 5
KRZYØAN”W;10;02;05;2;0;Gmina;Gmina wiejska;1002052;;1994-01-01;;KRZYØAN”W;99-314;
KUTNO;10;02;06;2;0;Gmina;Gmina wiejska;1002062;;1994-01-01;;KUTNO;99-300;ul.Witosa 1
£ANI TA;10;02;07;2;0;Gmina;Gmina wiejska;1002072;;1994-01-01;;£ANI TA;99-306;
NOWE OSTROWY;10;02;08;2;0;Gmina;Gmina wiejska;1002082;;1994-01-01;;NOWE OSTROWY;99-350;
OPOR”W;10;02;09;2;0;Gmina;Gmina wiejska;1002092;;1994-01-01;;OPOR”W;99-322;OporÛw 12a
STRZELCE;10;02;10;2;0;Gmina;Gmina wiejska;1002102;;1994-01-01;;STRZELCE;99-307;ul.Leúna 1
ØYCHLIN;10;02;11;3;0;Gmina;Gmina miejsko-wiejska;1002113;;1994-01-01;;ØYCHLIN;99-320;ul.Barlickiego 15
≥aski;10;03;00;0;1;Powiat;;1003000;;1999-01-01;;£ASK;98-100;ul.Po≥udniowa 1
BUCZEK;10;03;01;2;0;Gmina;Gmina wiejska;1003012;;1994-01-01;;BUCZEK;98-113;ul.G≥Ûwna 20
£ASK;10;03;02;3;0;Gmina;Gmina miejsko-wiejska;1003023;;1994-01-01;;£ASK;98-100;ul.Warszawska 14
S DZIEJOWICE;10;03;03;2;0;Gmina;Gmina wiejska;1003032;;1994-01-01;;S DZIEJOWICE;98-160;ul.WieluÒska 6
