NAZWA;WK;PK;GK;GT;PT;Typ jednostki;Podtyp jednostki;Kod GUS;Kod MSWiA;Data od;Data do;Miejscowosc;Kod pocztowy;Adres
JAWOR;02;05;01;1;0;Gmina;Gmina miejska;0205011;;1994-01-01;;JAWOR;59-400;Rynek 1
BOLK”W;02;05;02;3;0;Gmina;Gmina miejsko-wiejska;0205023;;1994-01-01;;BOLK”W;59-420;Rynek 1
M CINKA;02;05;03;2;0;Gmina;Gmina wiejska;0205032;;1994-01-01;;M CINKA;59-424;MÍcinka 11
MåCIWOJ”W;02;05;04;2;0;Gmina;Gmina wiejska;0205042;;1994-01-01;;MåCIWOJ”W;59-407;MúciwojÛw 43
PASZOWICE;02;05;05;2;0;Gmina;Gmina wiejska;0205052;;1994-01-01;;PASZOWICE;59-411;Paszowice 137
W•DROØE WIELKIE;02;05;06;2;0;Gmina;Gmina wiejska;0205062;;1994-01-01;;W•DROØE WIELKIE;59-430;Wπdroøe Wielkie 64
jeleniogÛrski;02;06;00;0;1;Powiat;;0206000;;1999-01-01;;JELENIA G”RA;58-500;ul.Kochanowskiego 10
KARPACZ;02;06;01;1;0;Gmina;Gmina miejska;0206011;;1994-01-01;;KARPACZ;58-540;ul.Konstytucji 3 Maja 54
KOWARY;02;06;02;1;0;Gmina;Gmina miejska;0206021;;1994-01-01;;KOWARY;58-530;ul.1 Maja 1 a
PIECHOWICE;02;06;03;1;0;Gmina;Gmina miejska;0206031;;1994-01-01;;PIECHOWICE;58-573;ul.Øymierskiego 49
SZKLARSKA POR BA;02;06;04;1;0;Gmina;Gmina miejska;0206041;;1994-01-01;;SZKLARSKA POR BA;58-580;ul.Buczka 2
JANOWICE WIELKIE;02;06;05;2;0;Gmina;Gmina wiejska;0206052;;1994-01-01;;JANOWICE WIELKIE;58-520;ul.Kolejowa 2
JEØ”W SUDECKI;02;06;06;2;0;Gmina;Gmina wiejska;0206062;;1994-01-01;;JEØ”W SUDECKI;58-521;ul.D≥uga 63
MYS£AKOWICE;02;06;07;2;0;Gmina;Gmina wiejska;0206072;;1994-01-01;;MYS£AKOWICE;58-533;ul.Szkolna 5
PODG”RZYN;02;06;08;2;0;Gmina;Gmina wiejska;0206082;;1994-01-01;;PODG”RZYN;58-562;ul.Øo≥nierska 14
STARA KAMIENICA;02;06;09;2;0;Gmina;Gmina wiejska;0206092;;1994-01-01;;STARA KAMIENICA;58-512;Stara Kamienica 41
kamiennogÛrski;02;07;00;0;1;Powiat;;0207000;;1999-01-01;;KAMIENNA G”RA;58-400;ul.Broniewskiego 15
KAMIENNA G”RA;02;07;01;1;0;Gmina;Gmina miejska;0207011;;1994-01-01;;KAMIENNA G”RA;58-400;Pl.Grunwaldzki 1
KAMIENNA G”RA;02;07;02;2;0;Gmina;Gmina wiejska;0207022;;1994-01-01;;KAMIENNA G”RA;58-400;Al.Wojska Polskiego 10
LUBAWKA;02;07;03;3;0;Gmina;Gmina miejsko-wiejska;0207033;;1994-01-01;;LUBAWKA;58-420;Pl.Wolnoúci 1
MARCISZ”W;02;07;04;2;0;Gmina;Gmina wiejska;0207042;;1994-01-01;;MARCISZ”W;58-410;ul.G≥Ûwna 86
k≥odzki;02;08;00;0;1;Powiat;;0208000;;1999-01-01;;K£ODZKO;57-300;ul.Okrzei 1
DUSZNIKI-ZDR”J;02;08;01;1;0;Gmina;Gmina miejska;0208011;;1994-01-01;;DUSZNIKI-ZDR”J;57-340;Rynek 6
K£ODZKO;02;08;02;1;0;Gmina;Gmina miejska;0208021;;1994-01-01;;K£ODZKO;57-300;Pl.B. Chrobrego 1
KUDOWA-ZDR”J;02;08;03;1;0;Gmina;Gmina miejska;0208031;;1994-01-01;;KUDOWA ZDR”J;57-350;ul.Zdrojowa 24
NOWA RUDA;02;08;04;1;0;Gmina;Gmina miejska;0208041;;1994-01-01;;NOWA RUDA;57-400;Rynek 1
POLANICA-ZDR”J;02;08;05;1;0;Gmina;Gmina miejska;0208051;;1994-01-01;;POLANICA-ZDR”J;57-320;ul.Dπbrowskiego 3
BYSTRZYCA K£ODZKA;02;08;06;3;0;Gmina;Gmina miejsko-wiejska;0208063;;1994-01-01;;BYSTRZYCA K£ODZKA;57-500;ul.Sienkiewicza 6
K£ODZKO;02;08;07;2;0;Gmina;Gmina wiejska;0208072;;1994-01-01;;K£ODZKO;57-300;ul.Okrzei 8 a
L•DEK-ZDR”J;02;08;08;3;0;Gmina;Gmina miejsko-wiejska;0208083;;1994-01-01;;L•DEK-ZDR”J;57-540;ul. Rynek 31
LEWIN K£ODZKI;02;08;09;2;0;Gmina;Gmina wiejska;0208092;;1994-01-01;;LEWIN K£ODZKI;57-343;ul.Nad Potokiem 4
